REF_DATE,GEO,DGUID,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2015/2016,Canada,2016A000011124,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115117756,1.1.1.3.1,21243500
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115117756,1.1.1.3.1,21008600
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115117756,1.1.1.3.1,20523400
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent",Number of persons,Number,223,units,0,v115117756,1.1.1.3.1,18317100
2015/2016,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115117757,1.1.1.3.2,21085100
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115117757,1.1.1.3.2,20847800
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115117757,1.1.1.3.2,20331500
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,223,units,0,v115117757,1.1.1.3.2,18124000
2015/2016,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115117758,1.1.1.3.3,21370400
2017/2018,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115117758,1.1.1.3.3,21141400
2019/2020,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115117758,1.1.1.3.3,20663300
2021/2022,Canada,2016A000011124,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,223,units,0,v115117758,1.1.1.3.3,18476500
2015/2016,Canada,2016A000011124,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v115117759,1.1.1.3.4,71.6
